SlateGameID,Season,Date,SlateID,GameID,Updated,GameStatus
20250204MCCVGOR_1_11,2025,2025-02-04,2025020411_2,20250204MCCVGOR_1,2025-02-20,Announced
20250205PCCFIG_2_11,2025,2025-02-05,2025020511_1,20250205PCCFIG_2,2025-02-20,Announced
20250205PCCFIG_1_11,2025,2025-02-05,2025020511_2,20250205PCCFIG_1,2025-02-20,Announced
20250206CKMCCV_2_11,2025,2025-02-06,2025020611_1,20250206CKMCCV_2,2025-02-20,Announced
20250206CKMCCV_1_11,2025,2025-02-06,2025020611_2,20250206CKMCCV_1,2025-02-20,Announced
20250207LCAPCC_2_11,2025,2025-02-07,2025020711_1,20250207LCAPCC_2,2025-02-20,Announced
20250207LCAPCC_1_11,2025,2025-02-07,2025020711_2,20250207LCAPCC_1,2025-02-20,Announced
20250208GORFIG_2_11,2025,2025-02-08,2025020811_1,20250208GORFIG_2,2025-02-20,Announced
20250208GORFIG_1_11,2025,2025-02-08,2025020811_2,20250208GORFIG_1,2025-02-20,Announced
20250209CKPCC_2_11,2025,2025-02-09,2025020911_1,20250209CKPCC_2,2025-02-20,Announced
20250209CKPCC_1_11,2025,2025-02-09,2025020911_2,20250209CKPCC_1,2025-02-20,Announced
20250210MCCVFIG_2_11,2025,2025-02-10,2025021011_1,20250210MCCVFIG_2,2025-02-20,Announced
20250210MCCVFIG_1_11,2025,2025-02-10,2025021011_2,20250210MCCVFIG_1,2025-02-20,Announced
20250211GORLCA_1_11,2025,2025-02-11,2025021111_1,20250211GORLCA_1,2025-02-20,Announced
20250212PCCMCCV_2_11,2025,2025-02-12,2025021211_1,20250212PCCMCCV_2,2025-02-20,Announced
20250212PCCMCCV_1_11,2025,2025-02-12,2025021211_2,20250212PCCMCCV_1,2025-02-20,Announced
20250213CKFIG_2_11,2025,2025-02-13,2025021311_1,20250213CKFIG_2,2025-02-20,Announced
20250213CKFIG_1_11,2025,2025-02-13,2025021311_2,20250213CKFIG_1,2025-02-20,Announced
20250214GORPCC_2_11,2025,2025-02-14,2025021411_1,20250214GORPCC_2,2025-02-20,Announced
20250214GORPCC_1_11,2025,2025-02-14,2025021411_2,20250214GORPCC_1,2025-02-20,Announced
20250215LCAFIG_2_11,2025,2025-02-15,2025021511_1,20250215LCAFIG_2,2025-02-20,Announced
20250215LCAFIG_1_11,2025,2025-02-15,2025021511_2,20250215LCAFIG_1,2025-02-20,Announced
20250216CKGOR_2_11,2025,2025-02-16,2025021611_1,20250216CKGOR_2,2025-02-20,Announced
20250203CKLCA_2_11,2025,2025-02-03,2025020311_1,20250203CKLCA_2,2025-02-20,Announced
20250203CKLCA_1_11,2025,2025-02-03,2025020311_2,20250203CKLCA_1,2025-02-20,Announced
20250204MCCVGOR_2_11,2025,2025-02-04,2025020411_1,20250204MCCVGOR_2,2025-02-20,Announced
20250204MCCVGOR_1_11,2025,2025-02-04,2025020411_2,20250204MCCVGOR_1,2025-02-20,Announced
20250205PCCFIG_2_11,2025,2025-02-05,2025020511_1,20250205PCCFIG_2,2025-02-20,Announced
20250205PCCFIG_1_11,2025,2025-02-05,2025020511_2,20250205PCCFIG_1,2025-02-20,Announced
20250206CKMCCV_2_11,2025,2025-02-06,2025020611_1,20250206CKMCCV_2,2025-02-20,Announced
20250206CKMCCV_1_11,2025,2025-02-06,2025020611_2,20250206CKMCCV_1,2025-02-20,Announced
20250207LCAPCC_2_11,2025,2025-02-07,2025020711_1,20250207LCAPCC_2,2025-02-20,Announced
20250207LCAPCC_1_11,2025,2025-02-07,2025020711_2,20250207LCAPCC_1,2025-02-20,Announced
20250208GORFIG_2_11,2025,2025-02-08,2025020811_1,20250208GORFIG_2,2025-02-20,Announced
20250208GORFIG_1_11,2025,2025-02-08,2025020811_2,20250208GORFIG_1,2025-02-20,Announced
20250209CKPCC_2_11,2025,2025-02-09,2025020911_1,20250209CKPCC_2,2025-02-20,Announced
20250209CKPCC_1_11,2025,2025-02-09,2025020911_2,20250209CKPCC_1,2025-02-20,Announced
20250210MCCVFIG_2_11,2025,2025-02-10,2025021011_1,20250210MCCVFIG_2,2025-02-20,Announced
20250210MCCVFIG_1_11,2025,2025-02-10,2025021011_2,20250210MCCVFIG_1,2025-02-20,Announced
20250211GORLCA_1_11,2025,2025-02-11,2025021111_1,20250211GORLCA_1,2025-02-20,Announced
20250212PCCMCCV_2_11,2025,2025-02-12,2025021211_1,20250212PCCMCCV_2,2025-02-20,Announced
20250212PCCMCCV_1_11,2025,2025-02-12,2025021211_2,20250212PCCMCCV_1,2025-02-20,Announced
20250213CKFIG_2_11,2025,2025-02-13,2025021311_1,20250213CKFIG_2,2025-02-20,Announced
20250213CKFIG_1_11,2025,2025-02-13,2025021311_2,20250213CKFIG_1,2025-02-20,Announced
20250214GORPCC_2_11,2025,2025-02-14,2025021411_1,20250214GORPCC_2,2025-02-20,Announced
20250214GORPCC_1_11,2025,2025-02-14,2025021411_2,20250214GORPCC_1,2025-02-20,Announced
20250215LCAFIG_2_11,2025,2025-02-15,2025021511_1,20250215LCAFIG_2,2025-02-20,Announced
20250215LCAFIG_1_11,2025,2025-02-15,2025021511_2,20250215LCAFIG_1,2025-02-20,Announced
20250216CKGOR_2_11,2025,2025-02-16,2025021611_1,20250216CKGOR_2,2025-02-20,Announced
